x,volts
0.99556,3.348819
1.02704,3.36838
1.0528,3.389719
1.07855,3.410169
1.10717,3.43062
1.13579,3.450181
1.16726,3.470631
1.19874,3.490192
1.23022,3.510642
1.26456,3.530203
1.2989,3.548875
1.3361,3.568436
1.3733,3.586218
1.41336,3.60489
1.45342,3.622673
1.49634,3.640456
1.54213,3.658238
1.58791,3.675132
1.63369,3.691136
1.68234,3.70803
1.73098,3.723145
1.78535,3.738261
1.83685,3.752487
1.89122,3.766713
1.94559,3.779161
2.00281,3.791609
2.06004,3.804057
2.11727,3.815615
2.1745,3.826285
2.23458,3.836955
2.29467,3.846735
2.35762,3.856516
2.42057,3.865407
2.48352,3.873409
2.54647,3.881412
2.60942,3.888525
2.67237,3.895638
2.73818,3.901862
2.80399,3.908975
2.86979,3.91431
2.93274,3.919644
2.99855,3.924979
3.06722,3.930314
3.13303,3.93476
3.19884,3.939205
3.26751,3.942762
3.33618,3.946318
3.40199,3.950764
3.47066,3.953432
3.53933,3.956988
3.608,3.959655
3.67667,3.962323
3.74534,3.96499
3.81401,3.966769
3.88268,3.969436
3.95135,3.971214
4.02002,3.973882
4.09155,3.97566
4.16022,3.976549
4.23175,3.978327
4.30042,3.980106
4.37196,3.980995
4.44063,3.982773
4.5093,3.983662
4.58083,3.98544
4.65236,3.98633
4.72103,3.987219
4.79256,3.988108
4.86409,3.988997
4.93562,3.989886
5.00715,3.989886
