x,volts
-0.001119,0.00139
0.006761,0.08151
0.015358,0.17944
0.023955,0.27737
0.033269,0.37085
0.041866,0.46877
0.051896,0.56225
0.061209,0.65128
0.071955,0.74476
0.081985,0.83378
0.092731,0.91836
0.104193,1.00739
0.115655,1.09197
0.127117,1.17209
0.139296,1.25222
0.151474,1.33235
0.164369,1.40802
0.177264,1.4837
0.190875,1.55938
0.20377,1.62615
0.217381,1.69293
0.231708,1.7597
0.246036,1.82648
0.259647,1.8888
0.273974,1.94668
0.288301,2.009
0.303345,2.06243
0.317672,2.11585
0.332716,2.16927
0.347759,2.2227
0.363519,2.27167
0.378563,2.32064
0.394323,2.36517
0.409366,2.40969
0.425126,2.45421
0.440886,2.49873
0.456646,2.53881
0.472405,2.57888
0.488881,2.6145
0.504641,2.65457
0.520401,2.69019
0.536877,2.72136
0.552637,2.75698
0.569113,2.78815
0.585589,2.81932
0.602064,2.85049
0.61854,2.88166
0.635016,2.90838
0.651492,2.9351
0.667968,2.96182
0.683728,2.98854
0.700204,3.01081
0.717396,3.03753
0.733872,3.0598
0.751064,3.08652
0.76754,3.10433
0.784732,3.1266
0.801208,3.14887
0.817684,3.16669
0.834876,3.18896
0.852068,3.20678
0.868544,3.22459
0.885737,3.24241
0.902929,3.26023
0.919405,3.27805
0.936597,3.29586
0.953789,3.30923
0.970981,3.32705
0.988173,3.34042
