t,v
-0.00713,-0.00762
0.01075,0.12541
0.02507,0.26399
0.03583,0.40257
0.05015,0.54115
0.06447,0.67418
0.08236,0.81276
0.09668,0.94579
0.11814,1.08437
0.13602,1.21741
0.15747,1.35598
0.17892,1.48901
0.20394,1.62205
0.23252,1.75508
0.2611,1.88257
0.29325,2.0156
0.32539,2.14309
0.36466,2.26503
0.40393,2.38697
0.45034,2.50891
0.49674,2.62531
0.5467,2.73617
0.60379,2.84702
0.66088,2.94679
0.7251,3.04655
0.79288,3.13523
0.86065,3.21282
0.93199,3.28487
1.00689,3.35137
1.08178,3.41233
1.16024,3.46775
1.2387,3.51762
1.32072,3.56195
1.39917,3.60073
1.48119,3.63952
1.5632,3.66722
1.64522,3.70046
1.73079,3.72816
1.8128,3.75032
1.89838,3.77247
1.98395,3.78908
2.06953,3.81124
2.15153,3.82785
2.24067,3.83892
2.32624,3.85553
2.41181,3.8666
2.50095,3.87767
2.58652,3.88874
2.67565,3.8998
2.76122,3.91087
2.85036,3.9164
2.93592,3.92192
3.02506,3.92745
3.11419,3.93852
3.19976,3.94404
3.28889,3.94957
3.37802,3.94955
3.46359,3.95507
3.55273,3.9606
3.64186,3.96612
3.73099,3.9661
3.82012,3.97163
3.90925,3.97161
3.99482,3.97714
4.08395,3.97712
4.17308,3.98264
4.26221,3.98262
4.35134,3.9826
4.44048,3.98813
4.52961,3.98811
4.61874,3.98809
4.70787,3.98807
4.797,3.98805
4.88257,3.99358
4.9717,3.99356
